,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta[PPSU],0.037,0.025,-0.006,0.086,0.001,0.001,661.0,768.0,1.0
beta[PSTRAT],-0.011,0.02,-0.052,0.029,0.001,0.0,1312.0,973.0,1.0
beta[SPOUSAGETC_A],0.008,0.027,-0.043,0.068,0.001,0.001,1636.0,1064.0,1.0
beta[EMPDYSMSS3_A],-0.008,0.018,-0.045,0.026,0.0,0.0,1501.0,1076.0,1.0
beta[EMPWKHRS3_A],0.03,0.029,-0.027,0.085,0.001,0.001,707.0,666.0,1.0
beta[EMDOCCUPN2_A],-0.014,0.03,-0.077,0.042,0.001,0.001,1607.0,997.0,1.0
beta[EMDOCCUPN1_A],-0.013,0.028,-0.073,0.043,0.001,0.001,1472.0,961.0,1.0
beta[EMDINDSTN2_A],0.009,0.025,-0.044,0.058,0.001,0.001,1363.0,896.0,1.0
beta[EMDINDSTN1_A],0.01,0.023,-0.031,0.06,0.001,0.0,1340.0,839.0,1.0
beta[WEIGHTLBTC_A],0.008,0.023,-0.044,0.054,0.001,0.0,1353.0,959.0,1.0
beta[HEIGHTTC_A],0.005,0.023,-0.043,0.052,0.001,0.001,1344.0,807.0,1.0
beta[HICOSTR1_A],-0.021,0.028,-0.089,0.018,0.001,0.001,977.0,863.0,1.0
beta[AGEP_A],0.01,0.033,-0.055,0.085,0.001,0.001,1597.0,728.0,1.0
beta[CVDVAC1M1_A],-0.002,0.018,-0.042,0.036,0.001,0.0,1274.0,1039.0,1.0
beta[WTFA_A],-0.018,0.027,-0.076,0.03,0.001,0.001,1107.0,908.0,1.0
beta[POVRATTC_A],-0.021,0.032,-0.099,0.03,0.001,0.001,1182.0,862.0,1.0
beta[URBRRL_2.0],-0.034,0.049,-0.131,0.043,0.001,0.001,1113.0,931.0,1.0
beta[URBRRL_3.0],0.042,0.051,-0.029,0.149,0.002,0.001,931.0,816.0,1.0
beta[URBRRL_4.0],0.049,0.063,-0.036,0.195,0.002,0.001,1218.0,1122.0,1.0
beta[RATCAT_A_2.0],0.003,0.049,-0.098,0.099,0.001,0.001,1590.0,949.0,1.0
beta[RATCAT_A_3.0],-0.037,0.076,-0.205,0.079,0.002,0.002,1394.0,939.0,1.0
beta[RATCAT_A_4.0],0.026,0.062,-0.103,0.151,0.002,0.001,1473.0,904.0,1.0
beta[RATCAT_A_5.0],-0.02,0.053,-0.153,0.064,0.001,0.001,2085.0,926.0,1.0
beta[RATCAT_A_6.0],0.01,0.05,-0.086,0.13,0.001,0.001,1923.0,859.0,1.0
beta[RATCAT_A_7.0],0.004,0.048,-0.093,0.113,0.001,0.001,1798.0,850.0,1.0
beta[RATCAT_A_8.0],-0.008,0.043,-0.112,0.067,0.001,0.001,1906.0,815.0,1.0
beta[RATCAT_A_9.0],0.045,0.063,-0.058,0.186,0.002,0.001,1124.0,838.0,1.0
beta[RATCAT_A_10.0],0.002,0.042,-0.089,0.09,0.001,0.001,1584.0,815.0,1.0
beta[RATCAT_A_11.0],-0.021,0.053,-0.131,0.087,0.001,0.001,1544.0,953.0,1.0
beta[RATCAT_A_12.0],0.021,0.058,-0.081,0.154,0.002,0.001,1547.0,883.0,1.0
beta[RATCAT_A_13.0],-0.009,0.047,-0.137,0.075,0.001,0.001,1894.0,808.0,1.0
beta[RATCAT_A_14.0],-0.015,0.043,-0.119,0.054,0.001,0.001,1826.0,731.0,1.0
beta[INCTCFLG_A_1.0],0.003,0.056,-0.105,0.136,0.002,0.001,1733.0,745.0,1.0
beta[IMPINCFLG_A_1.0],0.001,0.049,-0.096,0.112,0.002,0.001,1256.0,567.0,1.0
beta[IMPINCFLG_A_2.0],-0.005,0.041,-0.104,0.067,0.001,0.001,1806.0,859.0,1.0
beta[LANGHM_A_2.0],-0.045,0.064,-0.193,0.053,0.002,0.001,1619.0,958.0,1.01
beta[LANGHM_A_8.0],-0.039,0.09,-0.238,0.113,0.003,0.002,1570.0,883.0,1.0
beta[HISPALLP_A_2.0],0.016,0.047,-0.072,0.121,0.001,0.001,1274.0,1089.0,1.0
beta[HISPALLP_A_3.0],-0.045,0.071,-0.201,0.071,0.002,0.002,1014.0,847.0,1.0
